City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Mandalgovi,MN,2021-10-21 14:11:32,45.7625,106.2708,34.03,42,0,6.8
97,Chilca,PE,2021-10-21 14:11:33,-12.5211,-76.7372,62.85,78,91,7.14
98,Pevek,RU,2021-10-21 14:11:33,69.7008,170.3133,14.74,89,100,16.35
99,Nanortalik,GL,2021-10-21 14:11:34,60.1432,-45.2371,40.44,35,95,2.86
100,Vanavara,RU,2021-10-21 14:11:34,60.34,102.2797,35.56,87,100,5.3
101,Oshakati,NA,2021-10-21 14:11:35,-17.7833,15.6833,92.05,11,0,10.16
102,Urumqi,CN,2021-10-21 14:11:35,43.801,87.6005,52.75,35,0,2.24
103,Hithadhoo,MV,2021-10-21 14:11:35,-0.6,73.0833,81.93,76,37,10.69
104,Anadyr,RU,2021-10-21 14:09:38,64.75,177.4833,14.61,94,93,7.25
105,Port Augusta,AU,2021-10-21 14:11:36,-32.5,137.7667,61.7,71,0,13.67
106,Katsuura,JP,2021-10-21 14:09:16,35.1333,140.3,62.71,66,100,15.79
107,Airai,TL,2021-10-21 14:11:37,-8.9266,125.4092,65.75,70,86,0.72
108,Chapais,CA,2021-10-21 14:11:37,49.7834,-74.8492,33.58,79,100,2.19
109,Cabedelo,BR,2021-10-21 14:11:38,-6.9811,-34.8339,88.47,67,97,10.51
110,Tommot,RU,2021-10-21 14:11:38,58.9564,126.2925,34.92,98,100,10.11
111,Georgetown,MY,2021-10-21 14:07:45,5.4112,100.3354,80.89,82,20,0.0
112,Lahaina,US,2021-10-21 14:09:39,20.8783,-156.6825,73.81,80,0,4.7
113,Luderitz,NA,2021-10-21 14:11:39,-26.6481,15.1594,62.74,73,12,16.31
114,Rocha,UY,2021-10-21 14:11:39,-34.4833,-54.3333,66.99,56,0,4.76
115,Olafsvik,IS,2021-10-21 14:11:40,64.8945,-23.7142,41.88,75,47,13.22
116,Kaeo,NZ,2021-10-21 14:11:40,-35.1,173.7833,63.32,97,100,9.13
117,Chernyshevskiy,RU,2021-10-21 14:11:41,63.0128,112.4714,36.01,82,99,11.45
118,Peniche,PT,2021-10-21 14:11:41,39.3558,-9.3811,74.73,70,35,15.9
119,Aksarka,RU,2021-10-21 14:11:42,66.5606,67.7975,27.75,87,19,5.91
120,Morondava,MG,2021-10-21 14:11:42,-20.2833,44.2833,77.34,68,0,20.33
121,Tutin,RS,2021-10-21 14:11:42,42.9903,20.3314,59.79,55,94,9.33
122,Lazaro Cardenas,MX,2021-10-21 14:11:43,17.9583,-102.2,78.93,83,31,4.09
123,Saskylakh,RU,2021-10-21 14:11:43,71.9167,114.0833,12.4,96,100,7.45
124,Jamestown,US,2021-10-21 14:07:55,42.097,-79.2353,60.51,84,1,5.01
125,Claveria,PH,2021-10-21 14:11:44,18.6074,121.0832,80.15,87,89,8.12
126,Srednekolymsk,RU,2021-10-21 14:11:44,67.45,153.6833,-10.62,99,65,1.92
127,Odienne,CI,2021-10-21 14:11:45,9.51,-7.5692,84.92,65,95,0.67
128,Tautira,PF,2021-10-21 14:11:45,-17.7333,-149.15,75.22,80,100,5.1
129,Masiga,PH,2021-10-21 14:11:46,13.3607,121.8278,77.04,82,95,10.33
130,Oshawa,CA,2021-10-21 14:09:29,43.9001,-78.8496,60.21,92,40,1.01
131,Klaksvik,FO,2021-10-21 14:11:46,62.2266,-6.589,43.72,62,98,17.11
132,Yellowknife,CA,2021-10-21 14:11:47,62.456,-114.3525,37.42,91,2,11.01
133,Half Moon Bay,US,2021-10-21 14:07:26,37.4636,-122.4286,65.8,94,90,3.0
134,Oussouye,SN,2021-10-21 14:11:47,12.485,-16.5469,91.94,52,97,7.27
135,Narsaq,GL,2021-10-21 14:11:48,60.9167,-46.05,30.42,33,97,2.01
136,Cabo San Lucas,MX,2021-10-21 14:09:51,22.8909,-109.9124,78.51,83,0,3.85
137,Santa Maria,BR,2021-10-21 14:07:56,-29.6842,-53.8069,70.77,59,0,3.09
138,Kavieng,PG,2021-10-21 14:11:49,-2.5744,150.7967,80.46,82,100,10.07
139,Sola,VU,2021-10-21 14:11:49,-13.8833,167.55,80.64,79,100,9.31
140,Adrar,MR,2021-10-21 14:11:50,20.5022,-10.0711,87.08,12,20,16.67
141,Whangamata,NZ,2021-10-21 14:11:50,-37.2,175.8667,58.1,79,100,16.31
142,Hobart,AU,2021-10-21 14:09:12,-42.8794,147.3294,57.11,82,40,6.91
143,Ngaoundere,CM,2021-10-21 14:11:51,7.3167,13.5833,69.8,86,100,3.2
144,Marsabit,KE,2021-10-21 14:11:51,2.3284,37.9899,78.76,38,95,15.26
145,Henties Bay,NA,2021-10-21 14:11:52,-22.116,14.2845,63.39,74,3,10.65
146,Labuhan,ID,2021-10-21 14:11:52,-6.8844,112.2051,83.12,75,93,3.51
147,Leningradskiy,RU,2021-10-21 14:11:52,69.3833,178.4167,20.28,95,100,11.23
148,East London,ZA,2021-10-21 14:10:23,-33.0153,27.9116,75.33,66,90,18.57
149,Ribeira Grande,PT,2021-10-21 14:11:53,38.5167,-28.7,70.2,73,75,9.22
150,Gravdal,NO,2021-10-21 14:11:54,68.1214,13.5031,40.68,93,75,11.5
151,Taoudenni,ML,2021-10-21 14:11:54,22.6783,-3.9836,89.67,19,5,15.19
152,Omsukchan,RU,2021-10-21 14:11:55,62.5333,155.8,-12.86,94,14,4.07
153,Severobaykalsk,RU,2021-10-21 14:11:55,55.65,109.3167,32.34,77,24,3.02
154,Tura,IN,2021-10-21 14:11:55,25.5198,90.2201,70.39,94,96,3.09
155,Bac Lieu,VN,2021-10-21 14:11:56,9.285,105.7244,79.93,82,100,4.52
156,Baykit,RU,2021-10-21 14:11:56,61.67,96.37,33.98,91,87,3.09
157,Fort Nelson,CA,2021-10-21 14:11:57,58.8053,-122.7002,26.19,100,90,0.0
158,Rundu,NA,2021-10-21 14:11:57,-17.9333,19.7667,80.6,45,100,6.33
