City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Chinsali,ZM,79.86,broken clouds,-10.5414,32.0816,Chisakatu Guest House
302,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
310,Carutapera,BR,87.08,broken clouds,-1.195,-46.02,Lidera
314,Santa Marta,CO,89.35,few clouds,11.2408,-74.199,Casa de Isabella
318,Port Blair,IN,80.15,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
321,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
325,Bubaque,GW,83.28,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
327,Tual,ID,82.96,broken clouds,-5.6667,132.75,Grand Vilia Hotel
329,Manggar,ID,80.55,scattered clouds,-2.8833,108.2667,Guest Hotel
331,Aketi,CD,76.08,few clouds,2.7388,23.7833,
332,Ewa Beach,US,76.95,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
337,Kulhudhuffushi,MV,82.06,overcast clouds,6.6221,73.07,Haajy Guest House 1
338,Bilma,NE,89.51,clear sky,18.6853,12.9164,Expeditions Ténére voyages
346,Camopi,GF,80.94,broken clouds,3.1655,-52.3158,La pousada
360,Ishigaki,JP,77.52,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
363,Palmeiras De Goias,BR,86.77,overcast clouds,-16.805,-49.9258,Hotel Água Virada
367,Santo Amaro Da Imperatriz,BR,81.64,clear sky,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
371,Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
372,Fare,PF,78.13,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
373,Ambulu,ID,77.81,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
374,Road Town,VG,86.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
379,Maragogi,BR,83.34,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
388,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
390,Les Cayes,HT,87.67,broken clouds,18.2,-73.75,Villa Orphee
396,Bosaso,SO,81.63,broken clouds,11.2842,49.1816,Red Sea Hotel
397,Port-Gentil,GA,82.36,moderate rain,-0.7193,8.7815,Fengshui Residence
399,Ambilobe,MG,78.6,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
400,Chauk,MM,75.96,scattered clouds,20.8833,94.8167,Bo Khin Guest House
408,Rayong,TH,79.3,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
410,Kirakira,SB,78.15,scattered clouds,-10.4544,161.9205,SanBiz Lodge
411,Kavali,IN,82.09,overcast clouds,14.9167,79.9833,Hotel Mourya Paradise
414,Vallenar,CL,78.39,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
422,Nakhon Si Thammarat,TH,82.06,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
424,Meulaboh,ID,75.56,light rain,4.1363,96.1285,Kost Pria
425,Karratha,AU,78.6,clear sky,-20.7377,116.8463,ibis Styles Karratha
426,Palmas,BR,89.47,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
427,Avera,US,78.31,broken clouds,33.194,-82.5271,
429,Reconquista,AR,88.9,clear sky,-29.15,-59.65,Grand Hotel
432,Takoradi,GH,80.87,broken clouds,4.8845,-1.7554,Raybow International Hotel
433,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
434,Sao Paulo De Olivenca,BR,78.42,overcast clouds,-3.3783,-68.8725,
435,Timoteo,BR,77.86,overcast clouds,-19.5825,-42.6444,So o @jeeanfelips contem este selo
436,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
442,Latung,PH,83.05,broken clouds,5.5,120.8833,
444,Bontang,ID,77.11,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
447,Houma,US,84.99,mist,29.5958,-90.7195,Courtyard by Marriott Houma
452,Karachi,PK,76.82,haze,24.9056,67.0822,Sadaat
455,Mirandopolis,BR,79.0,broken clouds,-21.1336,-51.1017,Hotel Piriquitu's
464,Song Phi Nong,TH,79.97,light rain,14.2241,100.0209,แฮปปี้เฮ้าส์ รีสอร์ท
465,Awjilah,LY,83.07,broken clouds,29.1081,21.2869,
466,Awbari,LY,80.17,clear sky,26.5921,12.7805,فندق أوباري
472,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
473,Hambantota,LK,78.49,overcast clouds,6.1241,81.1185,Bungalow 63
474,Umm Kaddadah,SD,89.96,few clouds,13.6017,26.6876,
476,Tomatlan,MX,85.89,overcast clouds,19.9333,-105.25,El Salvial
477,Dinguiraye,GN,83.28,overcast clouds,11.3,-10.7167,
483,Ovalle,CL,78.96,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
488,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
490,Lakatoro,VU,77.16,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
493,Cayenne,GF,77.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
494,Mumbwa,ZM,86.14,broken clouds,-14.9783,27.0619,Mumbwa Motel
498,Duku,NG,88.45,broken clouds,11.2361,4.9073,
501,Imbituba,BR,76.89,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
504,Villa Rica,US,75.22,few clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
507,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
509,Kieta,PG,77.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
510,Baillif,GP,87.3,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
512,Eyl,SO,78.98,broken clouds,7.9803,49.8164,Amiin Hotel
516,Brikama,GM,87.84,scattered clouds,13.2714,-16.6494,Nilakoto
517,Aitape,PG,77.38,overcast clouds,-3.1374,142.3475,
519,Rocha,UY,77.92,clear sky,-34.4833,-54.3333,Beleza Pura B&B
520,Alta Floresta,BR,84.24,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
525,Makurdi,NG,85.1,broken clouds,7.7411,8.5121,Doo Palace Hotel
