City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Faanui,PF,-16.4833,-151.75,78.42,77,98,4.83,light rain
163,Treinta Y Tres,UY,-33.2333,-54.3833,77.49,57,0,21.09,clear sky
164,Plattsburgh,US,44.6995,-73.4529,45.52,87,90,1.01,overcast clouds
165,Kartaly,RU,53.0522,60.6467,37.69,94,100,7.76,overcast clouds
166,Ibra,OM,22.6906,58.5334,82.47,40,16,11.79,few clouds
167,Turayf,SA,31.6725,38.6637,71.85,28,0,4.61,clear sky
168,North Bend,US,43.4065,-124.2243,56.91,85,90,12.66,overcast clouds
169,Manica,FR,49.0,-1.1667,54.81,94,22,4.52,few clouds
170,Simpang,ID,-1.2667,104.0833,74.64,95,53,1.32,moderate rain
171,Dingle,PH,10.9995,122.6711,75.42,90,100,3.98,overcast clouds
172,Yerbogachen,RU,61.2767,108.0108,29.61,95,93,7.23,overcast clouds
173,Talnakh,RU,69.4865,88.3972,19.6,96,100,6.15,light snow
174,Garchitorena,PH,13.8804,123.6946,78.22,88,95,5.73,overcast clouds
175,Adjumani,UG,3.3779,31.7909,75.52,72,69,3.09,light rain
176,Novyy Urgal,RU,51.0736,132.5642,28.63,91,5,0.87,clear sky
177,Benguela,AO,-12.5763,13.4055,75.18,72,74,6.6,broken clouds
178,Nalut,LY,30.3333,10.85,71.38,33,0,9.44,clear sky
179,Angoram,PG,-4.0625,144.0661,73.58,98,68,0.92,broken clouds
180,Along,IN,28.1667,94.7667,64.22,98,67,2.21,broken clouds
181,Machilipatnam,IN,16.1667,81.1333,80.8,76,83,5.03,broken clouds
182,Katsuura,JP,35.1333,140.3,59.02,90,100,29.48,overcast clouds
183,Omsukchan,RU,62.5333,155.8,7.86,95,100,3.0,overcast clouds
184,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,20,75,36.82,broken clouds
185,Pinsk,BY,52.1229,26.0951,39.29,65,15,8.46,few clouds
186,Quibor,VE,9.9287,-69.6201,83.37,37,33,8.23,scattered clouds
187,Ailigandi,PA,9.2333,-78.0167,84.9,70,100,8.23,overcast clouds
188,Umm Lajj,SA,25.0213,37.2685,80.04,62,0,7.16,clear sky
189,Nome,US,64.5011,-165.4064,24.87,86,75,13.8,broken clouds
190,Andilamena,MG,-17.0167,48.5833,63.07,87,4,10.07,clear sky
191,Omboue,GA,-1.5746,9.2618,77.7,87,100,10.02,overcast clouds
192,Kinkala,CG,-4.3614,14.7644,79.11,83,99,2.86,moderate rain
193,Sitka,US,57.0531,-135.33,40.89,75,75,0.0,broken clouds
194,Vostok,RU,46.4856,135.8833,32.59,77,15,5.06,few clouds
195,Harrison,US,30.4091,-89.0436,84.31,77,75,5.75,broken clouds
196,Harper,LR,4.375,-7.7169,80.02,75,89,9.89,overcast clouds
